App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Minimum Android Ver,Genres
Skype Lite - Free Video Call & Chat,Communication,4.2,33053,22,5000000,Free,0,Others,"July 31, 2018",1.60.0.31354-release,4.0.3,Communication
Case Simulator Hero for CS:GO,Family,4.3,14604,68,500000,Free,0,Teen,"July 4, 2018",3.1.2,4.2,Simulation
Paint By Number,Family,3.5,807,4.6,500000,Free,0,Others,"May 1, 2018",1.4.0,3,Casual
CJ Poker Odds Calculator,Game,4.1,207,0.11328,50000,Free,0,Others,"January 30, 2011",1.2,1.6,Card
Moto Voice,Tools,4.1,33216,1,10000000,Free,0,Others,"June 5, 2018",Varies with device,-1,Tools
DU Antivirus Security - Applock & Privacy Guard,Tools,4.6,436615,10,10000000,Free,0,Others,"June 5, 2018",3.3.1,4.0.3,Tools
Sports Tracker Running Cycling,Health And Fitness,4.5,190247,1,5000000,Free,0,Others,"August 3, 2018",Varies with device,-1,Health & Fitness
BC Hospital Wait Times,Medical,4.2,8,1.2,500,Free,0,Others,"January 19, 2016",1.2,4.1,Medical
CBS - Full Episodes & Live TV,Entertainment,3.8,92058,12,10000000,Free,0,Teen,"July 20, 2018",4.8.6,4.1,Entertainment
LIVE VIDEO TALK,Dating,4.7,478,4.5,10000,Free,0,Teen,"June 28, 2018",8.2,4.0.3,Dating
Offroad Car G,Family,4.3,64884,37,5000000,Free,0,Others,"July 12, 2016",1,2.3.3,Simulation
How to draw Ladybug and Cat Noir,Art And Design,3.8,564,9.2,100000,Free,0,Others,"July 11, 2018",2.1,4.1,Art & Design
Victoria EC,Tools,5,5,3.8,500,Free,0,Others,"March 30, 2018",1.283.0037,2.3.3,Tools
"HD Video Player (wmv,avi,mp4,flv,av,mpg,mkv)2017",Video Players,3.3,171,4.8,10000,Free,0,Others,"August 10, 2017",1.1,4.1,Video Players & Editors
FeaturePoints: Free Gift Cards,Family,3.9,121321,46,5000000,Free,0,Others,"October 22, 2016",8.7,4.0.3,Entertainment
Lullaby Add-on for Sleep as Android,Health And Fitness,3.9,2057,6.2,50000,Paid,1.99,Others,"October 18, 2017",2.4,4,Health & Fitness
Helper for Clash Royale (All-in-1),Family,4.3,6078,37,500000,Free,0,Others,"November 10, 2017",2.0.0,4.1,Entertainment
DW Witness,Business,4,6,3.5,500,Free,0,Others,"May 14, 2018",1.1.2,5,Business
ADWLauncher 1 EX,Personalization,4.3,28728,2.8,500000,Paid,2.49,Others,"July 27, 2013",1.3.3.9,1.6,Personalization
Lost Journey (Dreamsky),Game,4.5,32344,29,1000000,Paid,0.99,Others,"October 21, 2016",1.3.12,3,Adventure
Motocross Mayhem,Game,3.8,35171,45,1000000,Free,0,Others,"February 11, 2014",1.2,2.3,Racing
Police VAZ LADA Simulator,Family,3.6,3502,61,500000,Free,0,Teen,"September 11, 2016",1.3,2.3,Simulation
BlackCam Pro - B&W Camera,Photography,4.5,1376,5.5,100000,Paid,1.49,Others,"March 26, 2018",1.51,4,Photography
Fitness Dance for Zum.ba Workout Exercise,Health And Fitness,4.2,287,12,50000,Free,0,Others,"July 30, 2018",1.8,4.2,Health & Fitness
DK Browser,Communication,4,1,2.4,10,Free,0,Others,"April 25, 2017",1,4.2,Communication
ET Telecom from Economic Times,News And Magazines,4.7,273,6.3,10000,Free,0,Others,"August 7, 2018",2.9.0,4.1,News & Magazines
Basket Manager 2018 Free,Sports,3.4,1520,6.3,50000,Free,0,Others,"April 17, 2018",3.7,4.4,Sports
Star Wars™: Force Arena,Family,4.4,228130,70,5000000,Free,0,Others,"July 19, 2018",3.1.4,4.1,Strategy
Robin - AI Voice Assistant,Maps And Navigation,4.2,55313,16,1000000,Free,0,Others,"August 5, 2018",4.435,4.1,Maps & Navigation
Sin City Hero : Crime Simulator of Vegas,Game,4.1,3371,78,100000,Free,0,Teen,"September 8, 2017",1.1,4.0.3,Action
System Update Free,Tools,4.3,3068,6,100000,Free,0,Others,"July 20, 2018",11.1,4,Tools
Yandex Browser with Protect,Personalization,4.5,1237135,1,50000000,Free,0,Others,"July 18, 2018",Varies with device,-1,Personalization
O-Star,Dating,4.4,59,38,5000,Free,0,Others,"July 19, 2018",1.0.1,4.3,Dating
Plug-in app (System AC),Tools,3.6,126,11,10000,Free,0,Others,"June 8, 2017",v1.1072.35.0,4,Tools
Coloring book moana,Family,3.9,974,14,500000,Free,0,Others,"January 15, 2018",2.0.0,4.0.3,Art & Design
CG Backgrounds,Family,4,8,3.6,500,Free,0,Others,"June 19, 2018",8.1,4.0.3,Entertainment
Masha and the Bear: Evolution,Family,4.5,2062,42,500000,Free,0,Others,"June 14, 2018",1.0.9,4,Strategy
Wi-Fi Visualizer,Tools,3.9,132,2.6,50000,Free,0,Others,"May 17, 2017",0.0.9,2.3,Tools
VITEK EH DVR Viewer (Pro),Tools,3.5,78,3.3,10000,Free,0,Others,"October 11, 2013",1.2.10,2.2,Tools
Mutual - LDS Dating,Dating,3.7,1439,38,50000,Free,0,Teen,"July 30, 2018",1.1.46,4.2,Dating
Ziggo GO,Entertainment,4.1,29690,78,1000000,Free,0,Teen,"August 3, 2018",2.3.34 Prod,4.3,Entertainment
Bacterial Vaginosis Symptoms,Medical,4.1,698,2.4,100000,Free,0,Others,"February 3, 2015",1.1,3,Medical
BF Abstract 3d Pictures,Family,4.2,72,2.5,10000,Free,0,Teen,"June 18, 2015",5.1,3,Entertainment
"AT&T Navigator: Maps, Traffic",Travel And Local,3.6,32862,14,10000000,Free,0,Others,"December 6, 2016",5.10.6.2.8466393,4.1,Travel & Local
Neighborhoods & Apartments,Lifestyle,3.9,2042,3,100000,Free,0,Others,"August 28, 2015",3.1.6,4,Lifestyle
Dx Ludo,Family,3.6,215,2.6,50000,Free,0,Others,"April 18, 2011",1,2.1,Puzzle
4K Ultra Camera,Photography,4.2,382,2.9,100000,Free,0,Others,"July 30, 2018",39.272.12,2.2,Photography
"WPS Office - Word, Docs, PDF, Note, Slide & Sheet",Productivity,4.5,1508137,37,100000000,Free,0,Others,"July 30, 2018",11.1.3,4,Productivity
AF-STROKE (FREE),Medical,4.5,93,0.90234,10000,Free,0,Teen,"January 25, 2013",1.1,2.1,Medical
I'm Rich - Trump Edition,Lifestyle,3.6,275,7.3,10000,Paid,400,Others,"May 3, 2018",1.0.1,4.1,Lifestyle
ck-modelcars Shop,Shopping,4.5,118,6.4,5000,Free,0,Others,"June 15, 2018",5.29.0,5,Shopping
Translate: text & voice translator,Tools,4.3,122010,7.3,5000000,Free,0,Others,"July 14, 2018",Translator 10.9.2,4.0.3,Tools
Chess of Blades (BL/Yaoi Game) (No VA),Family,4.8,4,23,10,Paid,14.99,Teen,"January 24, 2018",1.03,2.3.3,Casual
EY India Tax Insights,Business,4.7,87,5.1,10000,Free,0,Others,"July 15, 2017",0.0.1,4.1,Business
BJ Foods,Business,5,3,1.5,10,Free,0,Others,"February 7, 2018",2.7,4.1,Business
AI Today : Artificial Intelligence News & AI 101,News And Magazines,5,43,2.3,100,Free,0,Others,"June 22, 2018",1,4.4,News & Magazines
Mu.F.O.,Game,5,2,16,1,Paid,0.99,Others,"March 3, 2017",1,2.3,Arcade
My EF,Family,3.3,4114,14,100000,Free,0,Others,"July 10, 2018",3.29,4.2,Education
Gold Teeth Photo Editor,Photography,2.8,1022,3.8,100000,Free,0,Others,"August 24, 2016",2,2.3,Photography
VITAS Hospice Referral App for Healthcare Pros,Medical,4.4,27,15,5000,Free,0,Others,"July 20, 2018",2.5.0 b665,5,Medical
Nur təfsiri 1-ci cild,Libraries And Demo,5,15,1.4,1000,Free,0,Others,"April 27, 2017",1,1.6,Libraries & Demo
Hangman,Family,4.4,23302,12,5000000,Free,0,Others,"March 24, 2018",1.0.6,4,Puzzle
Mad Skills Motocross,Game,4,32522,44,1000000,Free,0,Others,"January 25, 2016",1.2.0,2,Racing
Snapseed,Photography,4.5,823109,1,50000000,Free,0,Others,"June 29, 2018",2.19.0.201907232,4.4,Photography
Ba Cristi,Game,3.5,196,35,10000,Free,0,Others,"March 22, 2016",1.0.4,2.3,Adventure
Gymnastics Superstar - Spin your way to gold!,Family,4.6,305765,34,10000000,Free,0,Others,"July 31, 2018",1.1.7,4.1,Role Playing
TAXLANDIA,Family,1.9,141,65,1000,Free,0,Others,"March 6, 2018",1.8.2,4.3,Educational
Huntington Mobile,Finance,4.2,11264,24,1000000,Free,0,Others,"June 26, 2018",5.2.203,4.2,Finance
I'm Ping Pong King :),Sports,4.4,29864,40,1000000,Free,0,Others,"July 26, 2018",2.5,4.1,Sports
"Clean My House – Chore To Do List, Task Scheduler",Productivity,4.1,661,3.4,100000,Free,0,Others,"June 21, 2018",2.1.2,4.1,Productivity
Breathing Zone,Medical,4.6,319,1,5000,Paid,3.99,Others,"March 6, 2018",Varies with device,-1,Medical
Simply Yoga - Fitness Trainer for Workouts & Poses,Health And Fitness,4.1,6826,1,1000000,Free,0,Others,"June 14, 2018",Varies with device,-1,Health & Fitness
Dominos Game ✔️,Family,4.1,2903,16,1000000,Free,0,Others,"July 5, 2018",5.2,4.1,Board
صور حرف H,Art And Design,4.4,13,4.5,1000,Free,0,Others,"March 27, 2018",2,4.0.3,Art & Design
US Stock Market,Finance,4.4,1922,4.2,100000,Free,0,Others,"August 1, 2018",1.28,2.3,Finance
"AD - Nieuws, Sport, Regio & Entertainment",News And Magazines,3.7,10369,1,1000000,Free,0,Others,"July 28, 2018",Varies with device,-1,News & Magazines
Draw a Stickman: EPIC 2 Free,Game,4.3,213340,24,10000000,Free,0,Others,"June 14, 2018",1.2.1.49,4,Adventure
Naruto Shippuden - Watch Free!,Video Players,3.9,141515,5.7,10000000,Free,0,Teen,"April 23, 2014",0.6.0,2.3,Video Players & Editors
Megatramp - a Story of Success!,Family,4.3,322976,1,5000000,Free,0,Teen,"June 13, 2018",Varies with device,4.2,Simulation
Zombie Sniper 3D III,Game,3.9,8122,23,500000,Free,0,Teen,"February 28, 2017",1.8,2.3,Action
Disc Label Print,Tools,3,262,37,10000,Free,0,Others,"September 20, 2016",1.0.0,4,Tools
Ghost Snap AR Horror Survival,Game,3.8,898,33,100000,Free,0,Teen,"December 21, 2016",1.2.3.1,2.3,Adventure
Motocross Fun Simulator,Family,3.8,22570,35,1000000,Free,0,Others,"January 9, 2017",1.2,2.3.3,Simulation
"Sleep as Android: Sleep cycle tracker, smart alarm",Lifestyle,4.3,246201,1,10000000,Free,0,Others,"July 23, 2018",Varies with device,-1,Lifestyle
Pedometer,Health And Fitness,4.4,400592,2.9,10000000,Free,0,Others,"July 4, 2018",5.23,4,Health & Fitness
Fashion Girls Dress up Makeup,Family,4.4,115,31,10000,Free,0,Others,"July 13, 2018",1,4,Simulation
Calculator,Tools,4.3,40770,1,100000000,Free,0,Others,"November 21, 2017",Varies with device,-1,Dating
AdClear Ad blocker for Samsung,Tools,4.2,1586,1.5,500000,Free,0,Others,"September 7, 2017",1.0.5,5,Tools
"realestate.com.au - Buy, Rent & Sell Property",House And Home,3.8,14653,1,1000000,Free,0,Others,"July 16, 2018",Varies with device,-1,House & Home
Identity V,Game,4.2,109263,38,1000000,Free,0,Teen,"July 10, 2018",1.0.144431,4.1,Action
Real Airplane Flight Simulator: Pilot Games,Family,3.3,21735,37,1000000,Free,0,Others,"July 11, 2018",1.0.03,4,Simulation
Asana: organize team projects,Business,4.3,20815,10,1000000,Free,0,Others,"July 26, 2018",6.4.4,5,Business
Ambulance Rescue Simulator 17,Family,4.3,6669,31,1000000,Free,0,Others,"March 1, 2018",1.0.8,2.3,Simulation
AV Pro Voice Changer,Family,3.5,174,5.6,50000,Free,0,Others,"June 29, 2016",1.0.3,4,Entertainment
Baby Monitor AV,Communication,3.3,1434,9.5,100000,Free,0,Others,"March 6, 2014",1.2.5,2.3,Communication
Phoenix - Facebook & Messenger,Social,4.3,9606,3.4,100000,Free,0,Teen,"July 18, 2018",2.2.0717,5,Social
iFORA BP,Medical,3.4,18,45,1000,Free,0,Others,"June 5, 2018",1.2.4,2.3.3,Medical
Calendar+ Schedule Planner App,Productivity,4,8985,5.7,1000000,Free,0,Others,"January 16, 2017",1.07.59,4.0.3,Productivity
BC Wildflowers,Family,4.4,7,81,1000,Free,0,Others,"July 10, 2017",3.5,4.1,Education
Top Eleven 2018 - Be a Soccer Manager,Sports,4.4,3451011,1,50000000,Free,0,Others,"July 26, 2018",7.4,4.1,Sports
"Pu - Cute giant panda bear, baby pet care game",Family,4.5,22167,88,1000000,Free,0,Others,"June 12, 2018",1.18,4.1,Educational
High-Powered Flashlight,Tools,4.5,429580,1,10000000,Free,0,Others,"March 16, 2018",Varies with device,-1,Tools
Recipes Pastries and homemade pies More than 500 recipes for pastries,Food And Drink,4.7,14065,7.1,500000,Free,0,Others,"June 12, 2018",1.2.2,4.1,Food & Drink
The Washington Post Classic,News And Magazines,4.5,23158,1,1000000,Free,0,Others,"July 17, 2018",Varies with device,-1,News & Magazines
AV HD Video Player,Family,3.8,6,23,1000,Free,0,Others,"January 19, 2018",1,4.4,Entertainment
QST,Family,2.5,706,1,10000,Free,0,Others,"March 14, 2018",Varies with device,-1,Education
POCKET ATLAS OF CT HEAD,Medical,4.3,22,18,10000,Free,0,Others,"March 16, 2018",2,4.0.3,Medical
Pixxy KWGT,Personalization,4.8,60,78,1000,Paid,0.99,Others,"July 29, 2018",4.0.1,5,Personalization
MEGA,Productivity,4,549973,1,50000000,Free,0,Others,"July 4, 2018",Varies with device,-1,Productivity
Learn Basic C - For Beginners,Family,4.7,27,0.75391,5000,Free,0,Others,"January 20, 2016",1,3,Education
tutti.ch - Free Classifieds,Shopping,4.4,9950,15,500000,Free,0,Others,"July 18, 2018",3.7.1,4.1,Shopping
F-Stop Gallery,Photography,4.2,12726,15,1000000,Free,0,Others,"July 21, 2018",4.9.18,4.1,Photography
Tiny Scanner Pro: PDF Doc Scan,Business,4.8,10295,39,100000,Paid,4.99,Others,"April 11, 2017",3.4.6,3,Business
Robot Fighting Games™ - Real Boxing Champions 3D,Game,4.4,30,47,5000,Free,0,Others,"July 2, 2018",1.1,4.1,Action
One Today by Google,Lifestyle,4.5,2586,9.4,100000,Free,0,Others,"December 17, 2015",1.9.0.110162364,4.0.3,Lifestyle
UFC,Sports,4,30840,1,1000000,Free,0,Teen,"May 22, 2018",Varies with device,-1,Sports
Recipes for hair and face tried,Health And Fitness,4.5,1203,6.5,500000,Free,0,Others,"October 16, 2016",1.2,2.3.3,Health & Fitness
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",Game,4.4,41975,79,1000000,Free,0,Others,"July 19, 2018",3.00.11034,5,Racing
2ndLine - Second Phone Number,Communication,4.2,15880,32,1000000,Free,0,Others,"August 3, 2018",5.65.0,4,Communication
Be Like Bill - Maker,Family,4.3,18,1.7,1000,Free,0,Others,"January 27, 2016",1.2,3.2,Entertainment
English Conversation Courses,Family,4.6,22165,6.8,1000000,Free,0,Others,"June 28, 2018",4.1806.3,4,Education
Stupid Zombies,Game,4.5,464900,33,10000000,Free,0,Teen,"June 27, 2018",2.0.5,4.2,Arcade
EC Calgary,Family,5,6,8.1,100,Free,0,Teen,"June 26, 2018",3.8.0,4.1,Education
Centimeter Ruler,Tools,3.3,16,1.3,10000,Free,0,Others,"November 5, 2016",2,4,Tools
Co-op Credit Union on the Go,Finance,4.4,5,30,1000,Free,0,Others,"April 25, 2018",18.1.79,5,Finance
Hungry Hearts Diner: A Tale of Star-Crossed Souls,Family,4.9,46253,56,500000,Free,0,Others,"February 7, 2018",1.0.1,4,Simulation
Gun Shoot War Q,Game,4.2,26893,20,1000000,Free,0,Teen,"March 1, 2017",1.0.5,2.3,Arcade
PumpUp — Fitness Community,Health And Fitness,4,49479,57,1000000,Free,0,Teen,"July 10, 2018",5.13.0,5,Health & Fitness
Remind: School Communication,Education,4.5,108613,1,10000000,Free,0,Others,"August 3, 2018",Varies with device,-1,Education
Bomb and Nade Timer for CS:GO,Productivity,2.6,85,6,5000,Free,0,Others,"April 21, 2016",1.1.2,4,Productivity
WPBS-DT,Family,5,3,6.3,500,Free,0,Others,"April 3, 2015",4.1.1,2.3.3,Entertainment
DT CLOTHINGS,Shopping,5,1,7.9,10,Free,0,Others,"July 25, 2018",1.0.1,4.1,Shopping
FG On-The-Go,Tools,4.9,55,25,1000,Free,0,Others,"June 29, 2018",2.01.0.2,4.1,Tools
Firefighters First CU,Finance,4.8,495,12,5000,Free,0,Others,"May 1, 2018",5.7.1.0,5,Finance
Tiger Live Wallpaper,Personalization,4.1,77724,7.1,5000000,Free,0,Teen,"May 31, 2018",2.7.2,4,Personalization
Holl & Co Barbers,Lifestyle,4.7,12,6,500,Free,0,Others,"February 26, 2018",4.9.940,4,Lifestyle
Surah Al-Waqiah,Books And Reference,4.7,1201,2.9,100000,Free,0,Others,"June 24, 2015",1,2.3.3,Books & Reference
My Days - Ovulation Calendar & Period Tracker ™,Health And Fitness,4.5,93691,1,5000000,Free,0,Others,"July 5, 2018",Varies with device,-1,Health & Fitness
Banking Calculator,Finance,4.5,3704,4.6,100000,Free,0,Others,"March 20, 2018",34,2.3,Finance
F05WatchFace for Android Wear,Productivity,3.9,127,5.9,1000,Paid,0.99,Others,"December 24, 2017",7.0.1,4.3,Productivity
CX-OF,Family,4.2,18,37,1000,Free,0,Others,"January 31, 2018",7.2.1,4.3,Entertainment
BROTHER IN WARS: GUNNER CITY WARLORDS,Game,4.3,8649,39,1000000,Free,0,Teen,"July 26, 2018",1.0.3,4.2,Action
Samsung Notes,Productivity,3.9,15368,1,100000000,Free,0,Others,"January 22, 2018",Varies with device,-1,Productivity
Ghostery Privacy Browser,Communication,4.1,13100,2.2,1000000,Free,0,Others,"March 20, 2018",1.4.1.0,4.0.3,Communication
H*nest Meditation,Lifestyle,4.9,145,48,5000,Paid,1.99,Teen,"April 7, 2016",1,4.0.3,Lifestyle
MIX by Camera360,Photography,4.4,111066,74,5000000,Free,0,Others,"August 3, 2018",4.8.7,4.0.3,Photography
With Helper Pro Pill Reminder,Medical,4.6,358,1,5000,Paid,3.99,Others,"October 25, 2017",Varies with device,-1,Medical
MeetMe: Chat & Meet New People,Social,4.2,1259849,76,50000000,Free,0,Others,"August 3, 2018",Varies with device,4.1,Social
Euro Truck Driver (Simulator),Family,4.4,860078,30,10000000,Free,0,Others,"February 15, 2018",1.6.0,4.1,Simulation
Avokiddo Emotions,Family,4.6,73,12,1000,Paid,2.99,Others,"May 21, 2018",1.7.0,4.0.3,Education
tTorrent - ad free,Video Players,4.3,2976,1,10000,Paid,1.99,Others,"June 15, 2018",1.5.14,4.1,Video Players & Editors
Wallpaper.cz,Photography,4.9,7,2.2,100,Free,0,Others,"July 11, 2015",1.2.0,3,Photography
"TryDate - Free Online Dating App, Chat Meet Adults",Dating,4.4,7888,15,500000,Free,0,Teen,"April 29, 2018",2.4.0,4.1,Dating
Mad Libs,Family,4,8126,61,1000000,Free,0,Others,"July 31, 2018",1.1.1,6,Entertainment
The Societe Generale App,Finance,4.1,31218,1,1000000,Free,0,Others,"July 31, 2018",Varies with device,-1,Finance
Tuner - gStrings Free,Tools,4.5,214265,1,10000000,Free,0,Others,"June 4, 2018",Varies with device,-1,Tools
DV Lottery Simulator,Family,4.6,13,1.3,1000,Free,0,Others,"October 20, 2016",1.1,4.1,Entertainment
SportCAM,Tools,3.2,427,9.5,100000,Free,0,Others,"May 4, 2018",1.7.6,2.2,Tools
Yoga - Track Yoga,Health And Fitness,4.5,7976,44,500000,Free,0,Others,"July 9, 2018",7,4.0.3,Health & Fitness
Undertale AU Amino,Social,4.8,5369,63,50000,Free,0,Teen,"July 13, 2018",1.8.19106,4.0.3,Social
Agent HQ for The Division,Family,4.1,1060,2.5,100000,Free,0,Others,"February 17, 2018",0.35,4.0.3,Entertainment
BU Syllabus,Family,4.5,38,6.5,1000,Free,0,Others,"September 21, 2017",1.0.3,4.0.3,Education
Words With Friends – Play Free,Game,4.3,711719,1,10000000,Free,0,Others,"July 11, 2018",Varies with device,-1,Word
Guide for CS:GO,Family,4.4,16459,88,500000,Free,0,Others,"July 15, 2017",3.2.0,2.3,Entertainment
Bus Driver 3D: Hill Station,Family,4.3,31705,49,5000000,Free,0,Others,"November 6, 2017",1.7,4.1,Simulation
Eurosport,Sports,4,121003,1,10000000,Free,0,Others,"August 6, 2018",Varies with device,-1,Sports
News Republic,News And Magazines,4.3,479594,18,10000000,Free,0,Teen,"July 28, 2018",9.2.3,4,News & Magazines
Google Pay,Finance,4.2,347838,1,100000000,Free,0,Others,"July 26, 2018",2.70.206190089,-1,Finance
EB Events,Travel And Local,3.3,97,16,10000,Free,0,Others,"January 27, 2016",1.6,4,Travel & Local
Muzy - Share photos & collages,Photography,4.4,70189,13,5000000,Free,0,Teen,"August 11, 2015",4.0.10,4,Photography
AK-47 Sounds,Family,3.9,656,2.9,500000,Free,0,Others,"September 14, 2016",2,2.3.3,Entertainment
7 minute abs workout - Daily Ab Workout,Health And Fitness,4.8,527,23,100000,Free,0,Others,"March 30, 2018",2.01,4.1,Health & Fitness
Blackjack Verite Drills,Game,4.6,17,4.7,100,Paid,14,Teen,"July 9, 2017",1.1.10,3,Casino
Club,Medical,4.4,3786,28,50000,Free,0,Others,"July 16, 2018",4.4.3,4.0.3,Medical
CS Customizer,Communication,3.7,25,3.7,1000,Free,0,Others,"February 6, 2017",1.2.11,3,Communication
WhatsApp Business,Communication,4.4,136662,32,10000000,Free,0,Others,"July 30, 2018",2.18.116,4.0.3,Communication
Create apps fast with beautiful design and no code,Business,3.7,23729,24,1000000,Free,0,Others,"May 14, 2018",7.2,4.4,Business
FD VR - Virtual App Launcher,Libraries And Demo,4.1,1463,7.4,100000,Free,0,Others,"November 30, 2016",3.6.1,4.4,Libraries & Demo
Fortune City - A Finance App,Finance,4.6,49275,91,500000,Free,0,Others,"July 17, 2018",2.0.3.1,4.4,Finance
AW Tozer Devotionals - Daily,Books And Reference,4.2,8,3.9,5000,Free,0,Others,"October 7, 2016",1,2.3,Books & Reference
Lippincott Nursing Advisor,Medical,3.8,343,26,50000,Free,0,Others,"May 1, 2018",3.3.1,4.1,Medical
CT-Stream Player,Family,3.9,84,11,10000,Free,0,Others,"November 21, 2016",3.4,3,Entertainment
Minion Rush: Despicable Me Official Game,Game,4.5,10216538,1,100000000,Free,0,Others,"July 12, 2018",Varies with device,-1,Casual
Sandbox Number Coloring Book Art - Color By Number,Family,4.2,14356,1,1000000,Free,0,Others,"March 9, 2018",2.5,4.1,Entertainment
DK Pittsburgh Sports,Sports,4.1,556,3.3,10000,Free,0,Others,"July 26, 2018",3.0.5,4.2,Sports
Beach Buggy Blitz,Game,4.2,640974,47,50000000,Free,0,Others,"June 5, 2018",1.5,4.0.3,Racing
Babbel – Learn Languages,Education,4.3,266948,21,10000000,Free,0,Others,"July 30, 2018",20.7.2,4.4,Education
BS Generator,Family,4.2,5,3.3,100,Free,0,Others,"July 23, 2016",1.1,4.4,Entertainment
Beauty Selfie Camera,Beauty,4.2,2225,52,500000,Free,0,Others,"February 28, 2018",1.6,4.1,Beauty
SkyTest BU/GU Lite,Business,2.9,28,20,500,Paid,17.99,Others,"October 24, 2017",2.0.5,3,Business
CX watcher,Family,4.5,4,30,500,Free,0,Others,"June 21, 2018",1.5_6,4.1,Casual
Duolingo: Learn Languages Free,Family,4.7,6294400,1,100000000,Free,0,Others,"August 1, 2018",Varies with device,-1,Education
Numbers Into Words,Productivity,4.4,457,0.54883,50000,Free,0,Others,"May 6, 2014",1.2,2.1,Productivity
comico Popular Original Cartoon Updated Everyday Comico,Comics,3.2,93965,15,5000000,Free,0,Teen,"July 3, 2018",6.3.0,4.0.3,Comics
Stocard - Rewards Cards Wallet,Shopping,4.6,284725,20,10000000,Free,0,Others,"July 31, 2018",7.2.1,4.1,Shopping
learn c in hindi,Family,4.3,109,2.7,5000,Free,0,Others,"June 24, 2017",4.1,4,Education
Smart File Manager,Productivity,4.2,17415,4.1,1000000,Free,0,Others,"July 5, 2018",3.5.9,4,Productivity
Five Nights at Freddy's 2,Family,4.6,73919,40,500000,Paid,2.99,Teen,"November 15, 2014",1.07,2.3,Strategy
I Am Innocent,Game,4.4,208501,56,1000000,Free,0,Teen,"July 23, 2018",2.8.307,4.0.3,Adventure
Been Together (Ad) - D-day,Lifestyle,4.4,95736,1,10000000,Free,0,Others,"July 30, 2018",Varies with device,-1,Lifestyle
Deep Breathe BP,Health And Fitness,3.9,26,12,1000,Free,0,Others,"June 9, 2018",1,4.1,Health & Fitness
Comunidad De Fe Minitries,Lifestyle,5,19,11,500,Free,0,Others,"March 1, 2018",1.1,4.1,Lifestyle
Droid Zap by Motorola,Video Players,3.8,2093,1,5000000,Free,0,Others,"February 3, 2015",Varies with device,-1,Video Players & Editors
Underdog FC,Sports,4.6,216,40,10000,Free,0,Others,"August 2, 2018",23.17,4.1,Sports
